/wiki/Andalusian_Progress_Party,/wiki/Canarian_Independent_Groups,/wiki/Confederation_of_the_Greens,/wiki/Democratic_Party_of_the_New_Left,/wiki/Galician_Coalition,/wiki/Galician_Nationalist_Bloc,/wiki/Galician_Socialist_Party%E2%80%93Galician_Left,/wiki/PSM%E2%80%93Nationalist_Agreement,/wiki/Progressives_for_the_Balearic_Islands,/wiki/Ruiz-Mateos_Group,/wiki/Unity_for_the_Isles,AP,AP-PDP-PL,AP–PDP,Amaiur logo.svg,Aralar,BNG–Nós,C's,CC,CDC,CDS,CHA,CUP,CiU,Compromís,Cs,DiL,EA,EE,EHB.png,ERC,ERC–CatSí,FAC,GBai,HB,ICV,IU,IU–LV,IU–UPeC,Isotipo Unidos Podemos.svg,Més,NC,NCa,NaBai,PA,PACMA,PAR,PCE,PDP,PDeCAT,PNV,PP,PRC,PRD,PSOE,Podemos,UA,UCD,UPCA,UPN,UPyD,UV,Unnamed: 0,Vox,date,eQuo,error,firm,lead,size,turnout,unio.cat
,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,1.8,44.0,,,39.0,,,,,,,,209,,2001-01-24,,,Opina/Cadena SER[p 366][p 360],5.0,,,
,,,,,1.2?,,,,,,,,,,,,,,,,,,3.9?,,,,,,,,,,,,,5.1?,,,,,,,,,,,,,,1.4?,43.5179,,,36.2132,,,,,,,,210,,2001-01-23,,,CIS[p 367][p 368][p 298],7.3,2486.0,73.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,39.0,,,,,,,,211,,2001-01-16,,,Opina/Cadena SER[p 369],3.0,,,
,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,1.5,42.0,,,38.5,,,,,,,,212,,2001-01-10,,,Opina/Cadena SER[p 360],3.5,,,
,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,1.4,44.6,,,36.2,,,,,,,,213,,2000-12-29,,,Sigma Dos/El Mundo[p 370][p 200],8.4,,,
,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,2.0,44.5,,,38.0,,,,,,,,214,,2000-12-28,,,Opitel/Tele 5[p 371],6.5,,,
,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,1.9,44.4,,,36.9,,,,,,,,215,,2000-12-24,,,Gallup[p 95],7.5,,,
,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,1.8,44.5,,,38.5,,,,,,,,216,,2000-12-20,,,Opina/Cadena SER[p 372][p 360],6.0,,,
,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,2.0,44.5,,,38.5,,,,,,,,217,,2000-12-05,,,Opina/Cadena SER[p 373][p 360],6.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6176,,,36.0133,,,,,,,,218,,2000-11-28,,,La Vanguardia[p 325],6.6,,,
,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.5,45.0,,,38.0,,,,,,,,219,,2000-11-22,,,Opina/Cadena SER[p 374][p 360],7.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,36.0,,,,,,,,220,,2000-11-08,,,Opina/Cadena SER[p 374],8.0,,,
,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,1.2,44.0,,,36.7,,,,,,,,221,,2000-10-31,,,Vox Pública/El Periódico[p 375],7.3,1210.0,,
,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,1.5,46.2,,,34.2,,,,,,,,222,,2000-10-30,,,Sigma Dos/El Mundo[p 376][p 200],12.0,,,
,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,1.7,42.2,,,32.8,,,,,,,,223,,2000-10-25,,,Opina/Cadena SER[p 360],9.4,,,
,,,,,1.3?,,,,,,,,,,,,,,,,,,3.814,,,,,,,,,,,,,5.57/8,,,,,,,,,,,,,,1.57,43.7173/179,,,36.2131/134,,,,,,,,224,,2000-10-22,,,CIS[p 128][p 377][p 378][p 379],7.5,2497.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,1.4,45.0,,,35.8,,,,,,,,225,,2000-10-09,,,Demoscopia/El País[p 380][p 95],9.2,,,
,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,5.6,,,,,,,,,,,,,,1.3,42.9,,,33.7,,,,,,,,226,,2000-10-05,,,Intercampo/GETS[p 109],9.2,,,
,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,1.0,44.8,,,34.9,,,,,,,,227,,2000-10-02,,,Opitel/Tele 5[p 381],9.9,,,
,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,5.3,,,,,,,,,,,,,,1.3,45.0,,,34.9,,,,,,,,228,,2000-09-27,,,Gallup[p 382][p 383][p 384],10.1,2025.0,71.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1188,,,31.5119,,,,,,,,229,,2000-07-20,,,La Vanguardia[p 325],15.6,,,
,,,,,1.5?,,,,,,,,,,,,,,,,,,4.315/16,,,,,,,,,,,,,5.99,,,,,,,,,,,,,,1.47,46.6186,,,31.6119/120,,,,,,,,230,,2000-07-18,,,CIS[p 385][p 386][p 387][p 298][p 379],15.0,2493.0,72.9,
,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,1.6,45.7,,,33.6,,,,,,,,231,,2000-07-16,,,Sigma Dos/El Mundo[p 388][p 200],12.1,,,
,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,5.6,,,,,,,,,,,,,,1.0,46.5,,,30.5,,,,,,,,232,,2000-06-30,,,Vox Pública/El Periódico[p 389],16.0,2300.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5189,,,31.1118,,,,,,,,233,,2000-06-07,,,La Vanguardia[p 325],16.4,,,
,,,,,1.5?,,,,,,,,,,,,,,,,,,4.0?,,,,,,,,,,,,,5.9?,,,,,,,,,,,,,,1.2?,45.3185,,,32.7125,,,,,,,,234,,2000-05-03,,,CIS[p 390][p 391][p 298],12.6,2491.0,72.0,
,,,,,1.33,,,0.10,,,,,,,,,,1.14,,,0.31,,4.215,,,,0.41,,,0.81,,,,,0.51,5.48,,,,,,,,0.91,,,,,,1.57,44.5183,,,34.2125,,,,,,,,235,,2000-03-12,,,2000 general election,10.3,,68.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,,,,,^ Quick count.,,,,
,,,0.51,,1.33,,,,,,,,,,,,,1.14,,,0.31,,4.215,,,,0.41,,,0.81,,,,,,5.48,,,,,,,,0.91,,,,,,1.57,44.5183,,,34.2125,,,,,,,0.20,0,,2000-03-12,,,2000 general election,10.3,,68.7,
,,,0.51,,1.64/6,,,,,,,,,,,,,0.94,,,0.41,,4.014/16,,,,0.51,,,1.02,,,,,,7.510/13,,,,,,,,0.91,,,,,,1.98/9,42.1173/180,,,32.9122/126,,,,,,,,1,,2000-03-12,,,Eco Consulting/RTVE[p 1][p 2][p 3],9.2,,?[a],
,,,?0/1,,1.34/5,,,,,,,,,,,,,1.14,,,?0/1,,4.314/15,,,,?1,,,1.12,,,,,,6.69/11,,,,,,,,?0/1,,,,,,1.87,41.1162/173,,,36.8133/143,,,,,,,,3,,2000-03-12,,,Sigma Dos/Antena 3[p 2][p 3][p 4],4.3,,,
,,,,,?4,,,,,,,,,,,,,?4,,,,,4.515/16,,,,,,,?1/2,,,,,,7.512/13,,,,,,,,,,,,,,1.57/8,42.0168/173,,,37.0131/136,,,,,,,,4,,2000-03-12,,,Opitel/Tele 5[p 2][p 3][p 4],5.0,,,
,,,,,1.54/5,,,,,,,,,,,,,0.73/5,,,,,4.314/15,,,,0.71/2,,,0.71,,,,,,7.811/13,,,,,,,,,,,,,,1.66/7,42.7173/178,,,33.9128/133,,,,,,,0.30,5,,2000-03-11,,,Gallup[p 5][p 6][p 7],8.8,1228.0,,
,,,1.22,,1.34,,,,,,,,,,,,,0.93,,,0.31,,4.214,,,,0.51,,,0.91,,,,,,8.717,,,,,,,,0.80,,,,,,1.77,43.7176,,,33.7123,,,,,,,0.31,6,,2000-03-07,,,CIS[p 8],10.0,,78.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2175/180,,,35.3128/136,,,,,,,,7,,2000-03-05,,,La Vanguardia[p 9],7.9,,,
,,,?1/2,,1.43/5,,,,,,,,,,,,,1.13/4,,,?0/1,,4.313/15,,,,?1,,,1.10/1,,,,,,8.111/14,,,,,,,,,,,,,,1.67,42.1163/170,,,37.4136/143,,,,,,,,8,,2000-03-05,,,Sondaxe/Diario 16[p 10][p 4],4.7,12001.0,,
,,,1.1?,,1.1?,,,,,,,,,,,,,0.6?,,,0.3?,,4.2?,,,,0.3?,,,0.9?,,,,,,6.7?,,,,,,,,0.8?,,,,,,1.6?,45.7183/185,,,33.2123/128,,,,,,,0.3?,9,,2000-03-03,,,La Vanguardia[p 9][p 11],12.5,,,
,,,0.91,,1.34/5,,,,,,,,,,,,,1.04,,,0.30/1,,4.114/15,,,,0.51,,,1.01/2,,,,,,7.39/13,,,,,,,,,,,,,,1.46/7,41.7165/171,,,37.1131/139,,,,,,,0.20,10,,2000-03-02,,,Demoscopia/El País[p 12][p 13][p 10],4.6,15000.0,74,
,,,,,1.8,,,,,,,,,,,,,1.0,,,,,4.4,,,,,,,,,,,,,6.2,,,,,,,,,,,,,,1.5,44.5,,,33.7,,,,,,,,11,,2000-03-01,,,Vox Pública/El Periódico[p 14][p 1],10.8,2300.0,?[a],
,,,,,1.34/5,,,,,,,,,,,,,1.04/5,,,0.30/1,,4.415/16,,,,0.30/1,,,0.71,,,,,,8.012/13,,,,,,,,0.80/1,,,,,,1.47,41.5162/170,,,36.7132/142,,,,,,,,13,,2000-03-01,,,Metra Seis/Colpisa[p 15][p 16],4.8,2500.0,74–76,
,,,0.61,,1.23/5,,,,,,,,,,,,,1.04,,,0.20/1,,4.315/16,,,,0.51,,,0.81,,,,,,7.39/12,,,,,,,,,,,,,,1.46/7,40.5158/164,,,36.7138/144,,,,,,,0.30,14,,2000-02-29,,,Ipsos–Eco/ABC[p 17][p 10],3.6,15600.0,74.4,
,,,,,1.33/5,,,,,,,,,,,,,0.94/5,,,,,4.516,,,,0.41,,,0.81,,,,,,6.59/11,,,,,,,,?0/1,,,,,,1.76/7,41.9164/170,,,37.3137/143,,,,,,,0.30,15,,2000-02-29,,,Sigma Dos/El Mundo[p 18][p 19][p 10],4.6,12000.0,,
,,,0.60/1,,1.03,,,,,,,,,,,,,1.04,,,,,4.214/15,,,,,,,1.01/2,,,,,,8.012/14,,,,,,,,,,,,,,1.36,41.8166/170,,,37.2136/140,,,,,,,,16,,2000-02-28,,,Opina/La Vanguardia[p 20],4.6,3000.0,,
,,,0.71/2,,1.14/5,,,,,,,,,,,,,0.83/4,,,0.30/1,,4.114/15,,,,0.41,,,0.91,,,,,,7.49/11,,,,,,,,,,,,,,1.37,41.6163/168,,,36.6138/143,,,,,,,0.30/1,17,,2000-02-28,,,CIS[p 21][p 22],5.0,24040.0,72.0,
,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,1.5,42.4,,,37.4,,,,,,,,18,,2000-02-28,,,Gallup[p 23][p 24],5.0,2029.0,73.8,
,,,,,1.3,,,,,,,,,,,,,0.8,,,,,5.1,,,,,,,,,,,,,9.1,,,,,,,,,,,,,,1.6,42.2,,,36.4,,,,,,,,19,,2000-02-27,,,Sondaxe/Diario 16[p 4],5.8,5455.0,,
,,,,,1.1,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,1.4,41.8,,,38.2,,,,,,,,20,,2000-02-15,,,Ipsos–Eco/ABC[p 25],3.6,2232.0,,
,,,,,1.1,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,1.4,41.6,,,37.3,,,,,,,,21,,2000-02-13,,,Demoscopia/El País[p 26],4.3,2000.0,74–76,
,,,,,1.2,,,,,,,,,,,,,0.7,,,,,3.7,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,1.6,46.3,,,32.3,,,,,,,,22,,2000-02-08,,,Vox Pública/El Periódico[p 27][p 1],14.0,2300.0,?[a],
,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,7.8,,,,,,,,,,,,,,1.3,42.9,,,36.2,,,,,,,,24,,2000-02-06,,,Sigma Dos/El Mundo[p 28],6.7,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.7180/182,,,35.1126/131,,,,,,,,25,,2000-01-30,,,La Vanguardia[p 9],9.6,,,
,,,0.50,,0.83,,,,,,,,,,,,,1.04/5,,,,,4.014,,,,0.20,,,0.80/1,,,,,,8.015/16,,,,,,,,,,,,,,1.24/5,42.0157/160,,,40.0145/148,,,,,,,,26,,2000-01-25,,,Opina/La Vanguardia[p 29],2.0,3000.0,?[b],
,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,1.4,40.7,,,37.1,,,,,,,,28,,2000-01-24,,,Gallup[p 30][p 16],3.6,,,
,,,,,1.3,,,,,,,,,,,,,0.7,,,,,4.3,,,,,,,,,,,,,5.8,,,,,,,,,,,,,,1.2,45.0,,,33.3,,,,,,,,29,,2000-01-18,,,Vox Pública/El Periódico[p 31][p 1],11.7,2300.0,?[a],
,,,,,1.23,,,,,,,,,,,,,0.93/5,,,,,4.415/16,,,,0.51,,,0.61,,,,,,6.39/10,,,,,,,,,,,,,,1.46,42.5167/174,,,36.8137/144,,,,,,,,31,,1999-12-30,,,Sigma Dos/El Mundo[p 32][p 33][p 34],5.7,12000.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,1.2,38.6,,,38.2,,,,,,,,32,,1999-12-24,,,Gallup[p 30][p 16],0.4,,,
,,,,,1.4,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,6.7,,,,,,,,,,,,,,1.5,40.9,,,36.5,,,,,,,,33,,1999-12-22,,,Demoscopia/El País[p 35][p 36],4.4,,73,
,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,7.9,,,,,,,,,,,,,,2.0,43.8,,,36.8,,,,,,,,34,,1999-12-05,,,Sondaxe/Diario 16[p 37][p 38],7.0,2500.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,6.3,,,,,,,,,,,,,,1.3,39.0,,,38.4,,,,,,,,35,,1999-11-29,,,Gallup[p 30][p 16],0.6,2001.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2175/179,,,34.2128/135,,,,,,,,36,,1999-11-28,,,La Vanguardia[p 9],8.0,,,
,,,0.6?,,1.0?,,,,,,,,,,,,,0.6?,,,,,4.3?,,,,0.3?,,,1.3?,,,,1.0?,,5.6?,,,,,,,,0.8?,,,,,,1.4?,41.1175/176,,,34.1130/135,,,,,,,0.2?,37,,1999-11-25,,,La Vanguardia[p 9][p 11],7.0,,,
,,,1.01,,1.53/4,,,,,,,,,,,,,1.55,,,,,4.014/15,,,,,,,1.01,,,,0.51/2,,8.013/15,,,,,,,,,,,,,,1.55/6,41.5163/167,,,36.0132/140,,,,,,,,38,,1999-11-22,,,Opina/La Vanguardia[p 39],5.5,3000.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.5?,,,,,,,,,,,,,6.8?,,,,,,,,,,,,,,1.2?,40.6167,,,35.8139,,,,,,,,39,,1999-10-26,,,CIS[p 40][p 41][p 42][p 43],4.8,2496.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,1.2,41.0,,,36.5,,,,,,,,40,,1999-10-07,,,Intercampo/GETS[p 44],4.5,,,
,,,,,,,,,,,,,,,,,,,,,,,4.514/16,,,,,,,,,,,,,7.411/13,,,,,,,,,,,,,,1.25,41.8164/170,,,36.8136/142,,,,,,,,41,,1999-10-01,,,Metra Seis/Colpisa[p 45][p 16],5.0,1680.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.5?,,,,,,,,,,,,,7.1?,,,,,,,,,,,,,,1.3?,42.2165/170,,,37.0135/140,,,,,,,,42,,1999-09-30,,,Sigma Dos/El Mundo[p 46][p 47],5.2,,,
,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,9.8,,,,,,,,,,,,,,1.0,40.7,,,37.2,,,,,,,,43,,1999-09-27,,,Gallup[p 48][p 49],3.5,2029.0,77.2,
,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,1.3,40.8,,,36.7,,,,,,,,44,,1999-09-15,,,Demoscopia/El País[p 50],4.1,1809.0,,
,,,,,1.4,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,8.8,,,,,,,,,,,,,,1.5,41.4,,,35.8,,,,,,,,45,,1999-09-10,,,Eco Consulting/ABC[p 51],5.6,1000.0,,
,,,1.3?,,1.6?,,,,,,,,,,,,,1.1?,,,,,3.9?,,,,0.2?,,,1.3?,,,,0.9?,,5.8?,,,,,,,,1.1?,,,,,,1.3?,41.8175/176,,,34.7130/135,,,,,,,0.3?,46,,1999-08-26,,,La Vanguardia[p 9][p 11],7.1,,,
,,,,,,,,,,,,,,,,,,,,,,,4.6?,,,,,,,,,,,,,6.6?,,,,,,,,,,,,,,1.2?,40.7169,,,35.8140,,,,,,,,47,,1999-07-15,,,CIS[p 40][p 52][p 53][p 43],4.9,2490.0,,
,,,1.0,,,,,,,,,,,,,,,,,,,,4.9,,,,0.2,,,0.8,,,,0.7,,7.2,,,,,,,,,,,,,,1.1,41.8,,,37.1,,,,,,,,48,,1999-07-12,,,DYM/El Periódico[p 54],4.7,2534.0,69.3,
,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,1.2,40.1,,,38.1,,,,,,,,49,,1999-06-21,,,Gallup[p 48][p 30][p 16],2.0,,,
,,,0.72,,1.65,,,,,,,,,,,,,1.35,,,0.20,,4.017,,,,w.PNV,,,0.81,,,,1.34,,5.89,,,,,,,,1.22,,,,,,1.97,39.7162,,,35.3135,,,,,,,0.41,50,,1999-06-13,,,1999 EP election,4.4,,63.0,
,,,1.1,,1.4,,,,,,,,,,,,,1.3,,,0.3,,3.6,,,,w.PNV,,,1.1,,,,1.3,,6.5,,,,,,,,1.7,,,,,,1.3,34.4,,,34.3,,,,,,,0.5,51,,1999-06-13,,,1999 local elections,0.1,,64.0,
,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,,41.5,,,37.0,,,,,,,,52,,1999-06-01,,,Demoscopia/El País[p 55][p 56][p 16],4.5,17500.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.716,,,,,,,,,,,,,8.815/18,,,,,,,,,,,,,,1.25,41.7168/176,,,35.3127/133,,,,,,,,53,,1999-05-20,,,Metra Seis/Colpisa[p 57][p 16],6.4,1200.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.6?,,,,,,,,,,,,,8.9?,,,,,,,,,,,,,,1.3?,41.0169,,,35.9138,,,,,,,,54,,1999-04-28,,,CIS[p 40][p 58][p 59][p 43],5.1,2499.0,,
,,,0.9,,,,,,,,,,,,,,,,,,,,4.6,,,,0.1,,,0.9,,,,0.3,,10.1,,,,,,,,,,,,,,1.5,42.9,,,34.1,,,,,,,,55,,1999-04-16,,,DYM/El Periódico[p 60][p 61],8.8,3019.0,65.3,
,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,41.1,,,31.6,,,,,,,,56,,1999-04-14,,,Demoscopia/El País[p 62][p 16],9.5,1200.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.615/16,,,,,,,,,,,,,7.612/14,,,,,,,,,,,,,,1.35/7,42.5169/176,,,35.7130/137,,,,,,,,57,,1999-02-22,,,Metra Seis/Colpisa[p 63][p 16],6.8,1200.0,,
,,,,,1.2,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,1.5,42.1,,,35.0,,,,,,,,58,,1999-02-20,,,Eco Consulting/ABC[p 64],7.1,1500.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5170/171,,,35.9136/140,,,,,,,,59,,1999-01-31,,,La Vanguardia[p 9],5.6,,,
,,,,,,,,,,,,,,,,,,,,,,,4.515/16,,,,,,,,,,,,,9.214/16,,,,,,,,,,,,,,1.35/6,41.1167/175,,,35.4127/136,,,,,,,,60,,1999-01-31,,,CIS[p 40][p 65][p 66][p 67],5.7,2493.0,,
,,,1.5?,,,,,,,,,,,,,,,,,,,,4.415/16,,,,,,,0.8?,,,,,,7.512/13,,,,,,,,,,,,,,0.83/5,42.0166/174,,,37.0133/141,,,,,,,,61,,1999-01-23,,,Opina/La Vanguardia[p 68][p 69],5.0,1000.0,,
,,,0.8,,1.6,,,,,,,,,,,,,0.9,,,,,4.5,,,,0.5,,,0.7,,,,0.8,,8.5,,,,,,,,,,,,,,1.1,42.6,,,33.9,,,,,,,0.5,62,,1999-01-16,,,DYM/El Periódico[p 70],8.7,2513.0,67.9,
,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,1.3,42.9,,,36.1,,,,,,,,63,,1998-12-27,,,Sigma Dos/El Mundo[p 71],6.8,,,
,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,9.9,,,,,,,,,,,,,,1.4,40.6,,,36.4,,,,,,,,64,,1998-12-21,,,Gallup[p 72][p 30][p 16],4.2,2017.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.414/16,,,,,,,,,,,,,8.212/15,,,,,,,,,,,,,,1.25,42.0167/174,,,36.8133/140,,,,,,,,65,,1998-12-14,,,Metra Seis/Colpisa[p 73][p 74][p 16],5.2,1200.0,,
,,,,,1.0,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,9.8,,,,,,,,,,,,,,1.7,40.6,,,36.5,,,,,,,,66,,1998-11-18,,,Eco Consulting/ABC[p 75],4.1,1001.0,,
,,,1.0?,,,,,,,,,,,,,,,,,,,,4.815/17,,,,,,,0.8?,,,,,,6.59,,,,,,,,,,,,,,0.85,41.5166/173,,,37.5135/143,,,,,,,,67,,1998-11-14,,,Opina/La Vanguardia[p 76][p 77],4.0,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.616,,,,,,,,,,,0.93,,7.112,,,,,,,,,,,,,,1.46,41.3171/173,,,34.7131/133,,,,,,,,68,,1998-11-01,,,La Vanguardia[p 78],6.6,,,
,,,,,,,,,,,,,,,,,,,,,,,4.2?,,,,,,,,,,,,,9.1?,,,,,,,,,,,,,,1.3?,40.9165,,,36.6140,,,,,,,,71,,1998-10-31,,,CIS[p 79][p 80][p 81][p 43],4.3,2490.0,77.1,
,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,8.9,,,,,,,,,,,,,,1.5,38.3,,,39.8,,,,,,,,72,,1998-10-08,,,Intercampo/GETS[p 44],1.5,,,
,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,10.1,,,,,,,,,,,,,,,40.9,,,35.9,,,,,,,,73,,1998-10-04,,,Demoscopia/El País[p 82][p 16],5.0,,,
,,,w.IU,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,0.6,,,,,,10.7,,,,,,,,,,,,,,1.2,38.1,,,38.1,,,,,,,,74,,1998-10-03,,,Vox Pública/El Periódico[p 83],Tie,1992.0,66–70,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,,,,,,,,,,,,38.6,,,39.5,,,,,,,,75,,1998-09-30,,,DECO/PSOE[p 84],0.9,7470.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.414/16,,,,,,,,,,,,,8.513/16,,,,,,,,,,,,,,1.45/7,41.3163/170,,,37.3134/142,,,,,,,,76,,1998-09-21,,,Metra Seis/Colpisa[p 85][p 16],4.0,1200.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,1.4,37.6,,,39.4,,,,,,,,77,,1998-09-21,,,Gallup[p 30][p 16],1.8,,,
,,,,,0.92,,,,,,,,,,,,,0.73,,,,,4.314,,,,0.51,,,0.50,,,,0.72,,9.118,,,,,,,,,,,,,,1.36,40.4164,,,37.8139,,,,,,,0.41,78,,1998-09-03,,,Sigma Dos/El Mundo[p 86][p 87][p 88],2.6,14565.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.5?,,,,,,,,,,,,,9.3?,,,,,,,,,,,,,,1.3?,38.4156,,,37.9147,,,,,,,,79,,1998-07-13,,,CIS[p 40][p 89][p 90][p 43],0.5,2486.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,8.8,,,,,,,,,,,,,,,37.9,,,35.8,,,,,,,,80,,1998-07-12,,,Demoscopia/El País[p 91][p 16],2.1,,,
,,,w.IU,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,0.6,,,,,,9.3,,,,,,,,,,,,,,1.8,38.5,,,37.6,,,,,,,,81,,1998-06-17,,,Vox Pública/El Periódico[p 92],0.9,1992.0,66.3,
,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,8.6,,,,,,,,,,,,,,1.3,37.8,,,40.6,,,,,,,,82,,1998-05-25,,,Gallup[p 30][p 16],2.8,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,,,,,,,,,,,,,,,40.1,,,36.8,,,,,,,,83,,1998-05-22,,,ASEP[c][p 93][p 94],3.3,1205.0,75.0,
,,,1.0?,,,,,,,,,,,,,,,,,,,,5.017,,,,,,,0.8?,,,,,,7.010/11,,,,,,,,,,,,,,1.05,40.0163/165,,,38.0142/143,,,,,,,,84,,1998-05-13,,,Opina/La Vanguardia[p 95][p 77],2.0,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,1.3,36.6,,,38.2,,,,,,,,85,,1998-05-06,,,Demoscopia/El País[p 96][p 97][p 16],1.6,1200.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,1.2,40.3,,,38.6,,,,,,,,86,,1998-05-04,,,Sigma Dos/El Mundo[p 98][p 99],1.7,,,
