,firm,date,size,Turnout,PSOE,PP,IU–LV,CiU,PNV,UPyD,ERC,BNG,/wiki/Galician_Nationalist_Bloc,CC,PA,GBai,PSM,Compromís,/wiki/PSM%E2%80%93Nationalist_Agreement,UPN,Amaiur logo.svg,FAC,PRC,Lead
297,Invymark/laSexta[p 378],30 Jan 2009,?,?,42.7,41.0,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.7
298,NC Report/La Razón[p 379],30 Jan 2009,1000,70.5,41.7161/163,38.5150/152,5.34/5,3.411/12,1.36/7,3.63/4,1.13,0.92/3,0.82/3,–,0.31,–,–,–,–,–,–,–,–,3.2
299,Obradoiro de Socioloxía/Público[p 380],20 Jan 2009,1600,?,40.2,36.7,5.0,2.7,1.0,6.0,1.0,0.8,–,–,–,–,–,–,–,–,–,–,–,3.5
300,CIS[p 381][p 382][p 338],19 Jan 2009,2482,?,39.7159/162,39.5153/156,4.54/5,3.413/14,1.16,3.13,1.33,1.02,–,–,–,–,–,–,–,–,–,–,–,0.2
301,Invymark/laSexta[p 378],16 Jan 2009,?,?,42.2,41.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.0
302,Celeste-Tel[p 278],9 Jan 2009,1100,?,40.8162,40.6153,5.24,3.112,1.36,3.13,1.24,1.03,0.92,–,0.31,–,–,–,–,–,–,–,–,0.2
303,NC Report/La Razón[p 383],2 Jan 2009,1000,71.5,41.6162/164,39.6151/153,4.94/5,3.311/12,1.36,3.23/4,1.13,0.92,0.82,–,0.31,–,–,–,–,–,–,–,–,2.0
304,Sigma Dos/El Mundo[p 384][p 385],26 Dec 2008,1000,?,42.6,39.7,3.4,3.2,1.4,3.1,1.0,–,–,–,–,–,–,–,–,–,–,–,–,2.9
305,Noxa/La Vanguardia[p 386],19 Dec 2008,1000,?,40.7161/164,37.5148/152,4.84/5,3.311/13,1.66/7,5.85/6,1.02/3,–,–,–,–,–,–,–,–,–,–,–,–,3.2
306,Invymark/laSexta[p 387],19 Dec 2008,?,?,41.8,41.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.3
307,Obradoiro de Socioloxía/Público[p 388],18 Dec 2008,3198,?,41.3,38.9,4.5,2.6,1.2,3.5,1.2,1.1,–,–,–,–,–,–,–,–,–,–,–,2.4
308,Celeste-Tel[p 278],5 Dec 2008,1100,?,40.9162,40.5156,5.14,3.211,1.36,2.73,1.03,0.92,0.92,–,0.31,–,–,–,–,–,–,–,–,0.4
309,Invymark/laSexta[p 387],28 Nov 2008,?,?,42.3,40.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.5
310,NC Report/La Razón[p 389],27 Nov 2008,1000,71.2,39.8155/157,41.5161/163,4.94/5,3.310/11,1.36/7,2.82/3,1.02/3,0.92/3,0.82,–,0.31,–,–,–,–,–,–,–,–,1.7
311,DYM/ABC[p 390],20 Nov 2008,1012,?,41.9,42.2,3.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.3
312,Obradoiro de Socioloxía/Público[p 391],20 Nov 2008,3203,?,41.3,39.2,4.0,3.2,1.2,4.0,1.2,1.0,–,–,–,–,–,–,–,–,–,–,–,2.1
313,Celeste-Tel[p 278],7 Nov 2008,1100,?,41.2163,40.9156,5.04,3.111,1.26,2.72,0.93,0.92,0.82,–,0.31,–,–,–,–,–,–,–,–,0.3
314,NC Report/La Razón[p 392][p 393],30 Oct 2008,1000,71.7,41.0159/162,41.1158/159,4.84/5,3.210/11,1.36/7,2.72,1.02/3,–,–,–,–,–,–,–,–,–,–,–,–,0.1
315,GESOP/El Periódico[p 394][p 395][p 396],24 Oct 2008,1500,?,40.2154/158,41.3160/164,4.84/5,2.910/11,1.16,2.92/3,1.13,–,–,–,–,–,–,w.PP,–,–,–,–,–,1.1
316,Obradoiro de Socioloxía/Público[p 397],23 Oct 2008,3203,?,39.4,39.4,3.4,3.8,1.0,4.2,1.3,0.9,–,–,–,–,–,w.PP,–,–,–,–,–,Tie
317,TNS Demoscopia/Antena 3[p 398][p 399],10 Oct 2008,?,?,40.7,42.4,–,–,–,–,–,–,–,–,–,–,–,w.PP,–,–,–,–,–,1.7
318,CIS[p 400][p 401],9 Oct 2008,2481,?,39.7,39.7,4.3,3.8,1.1,2.9,1.3,1.0,–,–,–,–,–,w.PP,–,–,–,–,–,Tie
319,Intercampo/GETS[p 402][p 403],8 Oct 2008,1729,High,40.4,41.2,4.0,2.7,1.6,3.7,1.2,–,–,–,–,–,–,w.PP,–,–,–,–,–,0.8
321,Celeste-Tel[p 278],7 Oct 2008,1100,?,41.4163,40.6155,5.04,3.012,1.26,2.82,1.03,0.92,0.72,–,0.21,–,–,w.PP,–,–,–,–,–,0.8
322,Simple Lógica[p 404],7 Oct 2008,1006,72.5,39.7,39.4,4.6,2.8,1.6,2.8,–,–,–,–,–,–,–,w.PP,–,–,–,–,–,0.3
323,Invymark/laSexta[p 405],3 Oct 2008,?,?,41.7,41.2,–,–,–,–,–,–,–,–,–,–,–,w.PP,–,–,–,–,–,0.5
324,NC Report/La Razón[p 406][p 407],2 Oct 2008,1000,71.5,41.2160/162,41.0156/157,4.64/5,3.210,1.36,2.72/3,0.93,–,–,–,–,–,–,w.PP,–,–,–,–,–,0.2
325,Obradoiro de Socioloxía/Público[p 408],25 Sep 2008,3171,?,38.6,39.4,4.5,3.2,1.3,2.8,1.0,1.2,–,–,–,–,–,w.PP,–,–,–,–,–,0.8
326,Noxa/La Vanguardia[p 409],18 Sep 2008,1000,?,40.6159/161,39.6152/155,5.25/6,3.111/12,1.26,4.23/4,1.22/3,–,–,–,–,–,–,w.PP,–,–,–,–,–,1.0
327,Celeste-Tel[p 278],5 Sep 2008,1100,?,41.4161,40.5154,5.25,3.311,1.36,2.83,1.24,1.13,0.92,–,0.31,–,–,w.PP,–,–,–,–,–,0.9
328,Celeste-Tel[p 278],7 Aug 2008,1100,?,41.8162,40.2154,5.15,3.311,1.36,2.73,1.34,1.12,0.92,–,0.31,–,–,w.PP,–,–,–,–,–,1.6
329,CIS[p 410][p 411],13 Jul 2008,2468,?,39.5,39.3,4.8,3.3,1.1,2.5,1.5,0.9,–,–,–,–,–,w.PP,–,–,–,–,–,0.2
330,Metroscopia/El País[p 412][p 413],10 Jul 2008,700,?,41.1,40.9,–,–,–,–,–,–,–,–,–,–,–,w.PP,–,–,–,–,–,0.2
331,Celeste-Tel[p 278],7 Jul 2008,1100,?,42.4164,40.3153,4.43,3.311,1.26,2.73,1.34,1.13,0.82,–,0.31,–,–,w.PP,–,–,–,–,–,2.1
332,Invymark/laSexta[p 414],27 Jun 2008,?,?,43.6,40.0,–,–,–,–,–,–,–,–,–,–,–,w.PP,–,–,–,–,–,3.6
333,Opina/Cadena SER[p 415][p 416],26 Jun 2008,1000,?,42.0,41.0,5.0,3.0,1.0,2.0,1.0,–,–,–,–,–,–,w.PP,–,–,–,–,–,1.0
334,ASEP[a][p 417],15 Jun 2008,1203,71.3,41.8,39.6,4.6,–,–,1.7,–,–,–,–,–,–,–,w.PP,–,–,–,–,–,2.2
335,Opina/Cadena SER[p 418][p 419],12 Jun 2008,1000,?,40.0,40.0,4.0,3.0,1.3,2.0,0.9,–,–,–,–,–,–,w.PP,–,–,–,–,–,Tie
336,Sigma Dos/El Mundo[p 420][p 421][p 422],12 Jun 2008,1000,?,41.3,40.2,4.8,3.2,1.2,2.7,0.9,–,–,–,–,–,–,w.PP,–,–,–,–,–,1.1
337,Celeste-Tel[p 278],6 Jun 2008,1100,?,43.4168,39.6152,4.32,3.411,1.36,2.73,1.03,1.02,0.92,–,0.31,–,–,w.PP,–,–,–,–,–,3.8
338,GESOP/El Periódico[p 423][p 424],30 May 2008,1500,?,45.0173/176,37.3145/148,4.22/3,2.810,1.26,2.52,1.02/3,–,–,–,–,–,–,w.PP,–,–,–,–,–,7.7
339,ASEP[a][p 425],18 May 2008,1209,73.6,43.8,39.3,4.3,–,–,1.5,–,–,–,–,–,–,–,w.PP,–,–,–,–,–,4.5
340,Celeste-Tel[p 278],8 May 2008,1100,?,44.5169,39.4152,4.22,3.311,1.26,2.62,0.93,0.92,0.82,–,0.21,–,–,w.PP,–,–,–,–,–,5.1
341,CIS[p 426][p 427],30 Apr 2008,2459,?,43.6,37.6,3.9,3.2,1.5,2.6,1.6,1.1,–,–,–,–,–,w.PP,–,–,–,–,–,6.0
342,ASEP[a][p 428],20 Apr 2008,1204,76.6,44.1,39.6,4.0,–,–,1.3,–,–,–,–,–,–,–,w.PP,–,–,–,–,–,4.5
343,Celeste-Tel[p 278],7 Apr 2008,1100,?,44.9171,39.5151,3.92,3.010,1.26,2.42,1.03,0.92,0.72,–,0.21,–,–,w.PP,–,–,–,–,–,5.4
344,2008 general election,9 Mar 2008,,73.8,43.9169,39.9154,3.82,3.010,1.26,1.21,1.23,0.82,0.72,0.30,0.21,0.10,0.10,w.PP,–,–,–,–,–,4.0
345,^ a b c Undecided and/or abstentionists excluded.,,,,,,,,,,,,,,,,,,,,,,,
